brunneaA	20.90532	156.6499
brunneaB	20.90532	156.6499
deplanataA	20.90532	156.6499
deplanataB	20.90532	156.6499
kauaiensisA	22.0644445	159.5455555
kauaiensisB	22.0644445	159.5455555
mauiensisA	20.90532	156.6499
mauiensisB	20.90532	156.6499
molokaiensisA	20.90532	156.6499
molokaiensisB	20.90532	156.6499
nihoaA	23.062222	161.926111
nihoaB	23.062222	161.926111
nitidaA	19.7362	155.6069
nitidaB	19.7362	155.6069
nitidaC	19.7362	155.6069
parvulaA	21.436875	158.0524305
parvulaB	21.436875	158.0524305
pilimauiensisA	20.90532	156.6499
pilimauiensisB	20.90532	156.6499
unicaA	21.436875	158.0524305
unicaB	21.436875	158.0524305
